,neighborhood,latitude,longitude
0,Barrio Concha y Toro,-33.44577,-70.665985
1,Barrio Las Flores SA,-33.40614,-70.57735
2,Barrio Plaza,-33.35382,-70.720764
3,Barrio el Golf,-33.413998,-70.59218
4,Barrio Pedro de Valdivia Norte,-33.41815,-70.61601
5,Barrio La Faena,-33.46834,-70.55555
6,Barrio Londres,-33.444637,-70.648224
7,Barrio Lastarria,-33.439106,-70.64117
8,Barrio Brasil,-33.478916,-70.60552
9,Barrio San Borja,-33.440502,-70.639244
10,Barrio San Isidro,-33.449146,-70.64316
11,Barrio Cívico,-33.445156,-70.653336
12,Barrio Franklin,-33.474873,-70.642044
13,Barrio Huemul 1,-33.475376,-70.6511
14,Barrio La Pradera,-33.370537,-70.72277
15,Barrio Los Descubridores,-33.421696,-70.56544
16,Barrio Vaticano,-33.426968,-70.58303
17,Barrio La Capitanía,-33.414272,-70.57051
18,Barrio Escandinavia,-33.403923,-70.56496
19,Barrio Industrial La Reina,-33.45484,-70.54259
20,Barrio Tajamar,-33.42697,-70.619934
21,Barrio San Pascual,-33.417038,-70.578354
22,Barrio Lyon,-33.429432,-70.60663
23,Barrio Divina Providencia,-33.430153,-70.61408
24,Barrio Los Domínicos,-33.41186,-70.54484
25,Barrio Estoril,-33.38904,-70.5343
26,Barrio Ictinos,-33.466877,-70.562355
27,Barrio Madrid,-33.454334,-70.635544
28,Barrio Patronato,-33.427834,-70.64367
29,Barrio Sierra Bella,-33.470505,-70.63126
30,Barrio Santa Elena,-33.477905,-70.625786
31,Barrio Llico,-33.503345,-70.64648
32,Barrio Balmaceda,-33.43197,-70.67174
33,Barrio Canadá,-33.502098,-70.62123
34,Barrio Traslaviña,-33.477802,-70.660545
35,Barrio Atacama,-33.507576,-70.662636
36,Barrio Villa Moderna,-33.406822,-70.67223
37,Barrio San Miguel,-33.4908,-70.645454
38,Barrio Chuchunco,-33.464287,-70.68444
39,Barrio Jardín de Lo Prado,-33.440643,-70.72911
40,Barrio Los Arcos,-33.52476,-70.65398
41,Barrio Blanqueado,-33.44027,-70.71437
42,Barrio Nueva España,-33.52951,-70.67096
43,Barrio La Granja,-33.543488,-70.62541
44,Barrio Perez Mascayano,-33.43346,-70.72581
45,Barrio San Ramón,-33.535122,-70.64605
46,Barrio Fraternal Ferroviaria,-33.500698,-70.687515
47,Barrio Washington,-33.432934,-70.7357
48,Barrio Ciudad del Este,-33.564083,-70.547035
49,Barrio Territorio Antártico,-33.448338,-70.718216
50,Barrio Las Golondrinas,-33.488033,-70.738266
51,Barrio Valle Lo Campino,-33.384716,-70.72322
52,Barrio Venecia,-33.54649,-70.66162
53,Barrio Lo Ortuzar,-33.46938,-70.74128
54,Barrio Granja Antigua,-33.5858,-70.5748
55,Barrio Lo Espina,-33.557568,-70.673676
56,Barrio Zaror,-33.509155,-70.7276
57,Barrio Los Carolinos,-33.571934,-70.680595
58,Barrio Los Sauces,-33.563606,-70.66418
59,Barrio Arnet,-33.59528,-70.69336
60,Barrio San Bernardo,-33.593296,-70.704994
61,Barrio Tejas de Chena,-33.569378,-70.71862
62,Barrio Esmeralda,-33.598606,-70.70161
63,Barrio Guarello,-33.60495,-70.7021
64,Barrio Nos,-33.639954,-70.709724
65,Barrio Aguirre Luco,-33.37703,-70.64221
66,Barrio Elías de la Cruz,-33.455208,-70.616974
67,Barrio Antigua Florida,-33.536285,-70.58304
68,Barrio Lo Curro,-33.367546,-70.55713
69,Barrio República,-33.4524,-70.66692
70,Barrio Meiggs,-33.451393,-70.67718
71,Barrio del Pilar,-33.353867,-70.68129
72,Barrio Tres Montes,-33.360237,-70.74627
73,Barrio Santa Maria de Maipu,-33.49581,-70.779335
74,Barrio San Damián,-33.383003,-70.52521
75,Barrio Las Dalias de Nos,-33.626,-70.6874
76,Barrio Chacarillas,-33.49647,-70.5889
77,Barrio Exposición,-33.45939,-70.67714
78,Barrio Ciudad del Sol,-33.595757,-70.58578
79,Barrio Los Rosales,-33.48488,-70.769554
80,Barrio la reforma,-33.486256,-70.76503
81,Barrio El Bosque,-33.4154,-70.60234
82,Barrio Suecia,-33.420265,-70.608574
83,Barrio Manuel Montt,-33.441784,-70.61494
84,Barrio Italia,-33.444397,-70.62609
85,Barrio Bellavista,-33.43226,-70.635956
86,Barrio La Palmilla,-33.388756,-70.67078
87,Barrio de Santa Isabel,-33.431442,-70.48828
88,Barrio Apoquindo,-33.406956,-70.55584
89,Barrio San Diego,-33.456364,-70.64969
90,Barrio París,-33.444637,-70.648224
91,Barrio Yungay,-33.440735,-70.67649
92,Barrio Estacion,-33.45332,-70.67827
93,Barrio Las Perdices,-33.55209,-70.55291
94,Barrio La Glorieta,-33.398655,-70.75838
